ORIS plant code,Name,Operator,County,State,Sulfur dioxide,Sulfur dioxide rank,Nitrogen oxides,Nitrogen oxides rank,Carbon dioxide,Carbon dioxide rank,Heat input,Gross load,Latitude,Longitude
3,Barry,Alabama Power Company,Mobile County,AL,4197.815,89,2282.763,132,3760362.7,137,36650689.2,3709827.75,31.0069,-88.0103
8,Gorgas,Alabama Power Company,Walker County,AL,1295.755,186,4107.115,80,5080765.437,107,49520149.5,4867554.25,33.6446,-87.2003
26,E C Gaston,Alabama Power Company,Shelby County,AL,2900.29,121,2723.707,116,5322164.876,103,58507463.28,5347905.5,33.2442,-86.4567
51,Dolet Hills Power Station,Cleco Power LLC,De Soto Parish,LA,9957.116,38,1987.754,140,2218354.205,180,20374318.09,2167932.07,32.0306,-93.5692
56,Charles R Lowman,"PowerSouth Energy Cooperative, Inc.",Washington County,AL,1109.603,197,2255.41,133,1731947.299,199,16880651.25,1512998.22,31.4858,-87.9106
59,Platte,Grand Island Utilities Dept.,Hall County,NE,316.797,262,365.487,278,427906.548,263,4079930.104,363899.73,40.8538,-98.3481
60,Gerald Whelan Energy Center,Nebraska Municipal Energy Agency and other(s),Adams County,NE,2274.302,144,679.912,237,1419731.787,211,13536728.6,1295013.58,40.5806,-98.3106
87,Escalante,Tri-State Generation & Transmission,McKinley County,NM,728.389,226,2124.812,136,1241435.953,220,11836703.51,1186946.33,35.4159,-108.082
108,Holcomb,Sunflower Electric Power Corporation,Finney County,KS,883.938,214,1064.47,205,1190563.088,224,11351678.74,1120094.63,37.9306,-100.9725
113,Cholla,Arizona Public Service Company,Navajo County,AZ,1755.226,161,4069.146,82,4713155.073,114,45937179.89,4021643.89,34.9394,-110.3033
127,Oklaunion Power Station,Public Service Company of Oklahoma,Wilbarger County,TX,987.689,206,2586.474,121,1899857.319,194,18114622.51,1818375.96,34.0825,-99.1753
130,Cross,Santee Cooper,Berkeley County,SC,2798.273,123,3068.559,105,9316540.773,37,90804532.31,9017954.77,33.3692,-80.1119
136,Seminole (136),"Seminole Electric Cooperative, Inc.",Putnam County,FL,5608.092,68,2364.619,129,7910171.844,58,77097230.77,8258228.49,29.7333,-81.6339
160,Apache Station,Arizona Electric Power Cooperative,Cochise County,AZ,310.79,264,2981.967,108,1871204.775,197,18384643.45,1782363.85,32.0619,-109.8931
