EPAFacilityID,ContaminantName,RegistryNumber
AK1570028646,Vinylidene chloride,75-35-4
AK1570028646,Benzene,71-43-2
AK1570028646,Ethylbenzene,100-41-4
AK1570028646,Toluene,108-88-3
AK1570028646,Trichloroethene,79-01-6
AK1570028646,Xylene (mixed isomers),1330-20-7
AK1570028646,2-Methylnaphthalene,90-12-0
AK1570028646,Anthracene,120-12-7
AK1570028646,Bis(2-ethylhexyl)phthalate,117-81-7
AK1570028646,Fluoranthene,206-44-0
AK1570028646,Naphthalene,91-20-3
AK1570028646,Total PAHs,130498-29-2
AK1570028646,Phenanthrene,85-01-8
AK1570028646,Pyrene,129-00-0
AK1570028646,Chromium,7440-47-3
AK1570028646,Lead,7439-92-1
AK1570028646,DDT,50-29-3
AK1570028646,DDD,72-54-8
AK1570028646,DDE,72-55-9
AK1570028646,TPH,TBD-00000012
AK1570028646,"1,2-Dichloroethane",107-06-2
AK1570028646,Trichloroethylene,79-01-6
AK1570028646,"1,4-Dichlorobenzene",106-46-7
AK1570028646,Arsenic,7440-38-2
AK1570028646,Barium,7440-39-3
AK1570028646,Manganese,7439-96-5
AK1570028646,"1,1,1-Trichloroethane",71-55-6
AK1570028646,Tetrachloroethylene,127-18-4
AK1570028646,Trichloroethane,TBD-00000010
AK1570028646,Vinyl chloride,75-01-4
AK1570028646,beta-BHC,319-85-7
AK1570028646,Pentachlorophenol,87-86-5
AK1570028646,Beryllium,7440-41-7
AK1570028646,Chromium (hexavalent),18540-29-9
AK1570028646,Gasoline,8006-61-9
AK1570028646,Total petroleum hydrocarbons,TBD-00000012
AK1570028646,"Petroleum hydrocarbons, unknown variety",8012-95-1
AK1570028646,4-Methylphenol,106-44-5
AK1570028646,Dichlorodifluoromethane,75-71-8
AK1570028646,"1,1,2,2-Tetrachloroethane",79-34-5
AK1570028646,Trichlorofluoromethane,75-69-4
AK1570028646,"4,4-DDT",50-29-3
AK1570028646,"4,4-DDD",72-54-8
AK1570028646,"4,4-DDE",72-55-9
AK1570028646,Cobalt,7440-48-4
AK1570028646,Aluminum (fume or dust),7429-90-5
AK1570028646,Antimony,7440-36-0
AK1570028646,Copper,7440-50-8
AK1570028646,Iron,7439-89-6
AK1570028646,Magnesium,7439-95-4
AK1570028646,Nickel,7440-02-0
AK1570028646,Potassium,07-09-40
AK1570028646,Silver,7440-22-4
AK1570028646,Sodium,7440-23-5
AK1570028646,Zinc,7440-66-6
AK1570028646,Benzo(b)fluoranthene,205-99-2
AK1570028646,"Benzo(g,h,i)perylene",191-24-2
AK1570028646,Benzo(k)fluoranthene,207-08-9
AK1570028646,Benzo[a]pyrene,50-32-8
AK1570028646,Chrysene,218-01-9
AK1570028646,delta-BHC,319-86-8
AK1570028646,Endosulfan sulfate,1031-07-8
AK1570028646,Benzo[a]anthracene,56-55-3
AK1570028646,"Dibenzo(a,h)Anthracene",53-70-3
AK1570028646,"Indeno(1,2,3-cd)pyrene",193-39-5
AK1570028646,Kerosene,8008-20-6
AK1570028646,"1,2-Dichloroethylene",540-59-0
AK1570028646,Aldrin,309-00-2
AK1570028646,Chlordane,57-74-9
AK1570028646,alpha-BHC,319-84-6
AK1570028646,Heptachlor epoxide,1024-57-3
AK1570028646,Aroclor-1254,11097-69-1
AK1570028646,"1,1-Dichloroethylene",75-35-4
AK1570028646,Dieldrin,60-57-1
AK1570028646,"cis-1,2-Dichloroethylene",156-59-2
AK4170024323,"Indeno(1,2,3-cd)pyrene",193-39-5
AK4170024323,Aroclor-1260,11096-82-5
AK4170024323,Dinitrotoluene (mixed isomers),25321-14-6
AK4170024323,"2,4,6-Trinitrotoluene",118-96-7
AK4170024323,Cyclonite,121-82-4
AK4170024323,Nitroglycerin,55-63-0
AK4170024323,Tetryl,479-45-8
AK6210022426,Bis(2-chloroethyl) ether,111-44-4
AK6210022426,Diesel fuel,68334-30-5
AK6210022426,"1,1,1-TCA",71-55-6
AK6210022426,"1,2-DCA",107-06-2
AK6210022426,Benzene,71-43-2
AK6210022426,TCE,79-01-6
AK6210022426,Toluene,108-88-3
AK6210022426,"1,2,4-Trimethylbenzene",95-63-6
AK6210022426,n-Butyl benzene,104-51-8
AK6210022426,n-Propyl benzene,103-65-1
AK6210022426,sec-Butyl benzene,135-98-9
AK6210022426,Arsenic,7440-38-2
AK6210022426,Barium,7440-39-3
AK6210022426,Cadmium,7440-43-9
AK6210022426,Chromium,7440-47-3
AK6210022426,Lead,7439-92-1
AK6210022426,Manganese,7439-96-5
AK6210022426,Selenium,7782-49-2
AK6210022426,Silver,7440-22-4
AK6210022426,2-Methylnaphthalene,90-12-0
AK6210022426,Naphthalene,91-20-3
AK6210022426,Gasoline,8006-61-9
AK6210022426,"1,1-Dichloroethene",75-35-4
AK6210022426,"1,2-Dichloroethene",540-59-0
AK6210022426,"1,3,5-Trimethylbenzene",108-67-8
AK6210022426,Acetone,67-64-1
AK6210022426,Cumene,98-82-8
AK6210022426,Ethylbenzene,100-41-4
AK6210022426,m-Xylene,108-38-3
AK6210022426,o-Xylene,95-47-6
AK6210022426,p-Xylene,106-42-3
AK6210022426,Tetrachloroethene,127-18-4
