NPRI ID,Company Name,Facility Name,City,Census Subdivision,Census Area or Census Metropolitan Area,Economic Region,Province,Postal Code,Terrestrial Ecozone,Watershed,NAICS 4 Code,NAICS 6 Code,Latitude,Longitude
0000000001,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,Athabasca County, ,Athabasca--Grande Prairie--Peace River,AB,T0A 0M0,Boreal PLain,Great Slave Lake Drainage Area,3221,322112,54.923116,-112.861867
0000000011,Hexion Canada Inc.,Hexion Canada Inc. - Edmonton Facility,Edmonton,Edmonton,Edmonton,Edmonton,AB,T5V 1E1,Prairie,Nelson River Drainage Area,3252,325210,53.5823,-113.5886
0000000015,Baycoat Ltd.,Baycoat,Hamilton,Hamilton,Hamilton,Hamilton--Niagara Peninsula,ON,L8N 3K7,MixedWood Plain,St. Lawrence Drainage Area,3328,332810,43.2428,-79.7503
0000000021,Bolton Steel Tube Co. Ltd.,Bolton Plant,Bolton,Caledon,Toronto,Toronto,ON,L7E 5B8,MixedWood Plain,St. Lawrence Drainage Area,3312,331210,43.8656,-79.7308
0000000028,BASF Canada Inc.,CORNWALL SITE,Cornwall,Cornwall,Cornwall,Ottawa,ON,K6J 2B5,MixedWood Plain,St. Lawrence Drainage Area,3251,325190,45.0189,-74.7551
0000000031,BASF Canada Inc.,Windsor Site,Windsor,Windsor,Windsor,Windsor--Sarnia,ON,N9A 5Y1,MixedWood Plain,St. Lawrence Drainage Area,3255,325510,42.3111,-83.0456
0000000034,BASF Canada Inc.,TORONTO SITE,Toronto,Toronto,Toronto,Toronto,ON,M9W 1K1,MixedWood Plain,St. Lawrence Drainage Area,3252,325210,43.6903,-79.5972
0000000040,Masonite International Corporation,Lemieux,Windsor,Windsor, ,Estrie,QC,J1S 2T2,Atlantic Maritime,St. Lawrence Drainage Area,3219,321999,45.582729,-71.995388
0000000054,Glencore Canada Corporation,Brunswick Mine,Bathurst,Bathurst,Bathurst,Campbellton--Miramichi,NB,E8G 2M1,Atlantic Maritime,Maritime Provinces Drainage Area,2122,212231,47.4717,-65.8897
0000000057,Bombardier Inc.,USINE DE LA POCATIÈRE,La Pocatière,La Pocatière, ,Bas-Saint-Laurent,QC,G0R 1Z0,MixedWood Plain,St. Lawrence Drainage Area,3365,336510,47.3594,-70.0509
0000000064,B&W Heat Treating Canada ULC,Plant No. 1,Kitchener,Kitchener,Kitchener - Cambridge - Waterloo,Kitchener--Waterloo--Barrie,ON,N2G 2C3,MixedWood Plain,St. Lawrence Drainage Area,3328,332810,43.4036,-80.4608
0000000070,TI Automotive Canada Inc.,Bramalea Plant,Bramalea,Brampton,Toronto,Toronto,ON,L6T 1G3,MixedWood Plain,St. Lawrence Drainage Area,3363,336340,43.7028,-79.7039
0000000079,GE Water & Process Technologies Canada,GE Water & Process Technologies Canada - EDMONTON,Edmonton,Edmonton,Edmonton,Edmonton,AB,T5L 2H8,Prairie,Nelson River Drainage Area,3259,325999,53.5894,-113.5747
0000000092,CCL Container Canada,CCL Container - Aerosol Division Penetanguishene,Penetanguishene,Penetanguishene,Midland,Kitchener--Waterloo--Barrie,ON,L9M 2G2,MixedWood Plain,St. Lawrence Drainage Area,3313,331317,44.7775,-79.9147
0000000099,Les Mines Agnico-Eagle,Division Laronde,Rouyn-Noranda,Rouyn-Noranda,Rouyn-Noranda,Abitibi-Témiscamingue,QC,J0Y 1C0,Boreal Shield,St. Lawrence Drainage Area,2122,212220,48.2375,-78.3958
0000000105,Aldex Chemical Co. Ltd.,ALDEX CHEMICAL,Granby,Granby,Granby,Montérégie,QC,J2G 8V1,MixedWood Plain,St. Lawrence Drainage Area,3399,339990,45.3907,-72.7547
0000000106,Canadian Natural Resources Limited,Dunvegan Sour Gas Plant,Fairview,Fairview No. 136, ,Athabasca--Grande Prairie--Peace River,AB,N/A,Boreal PLain,Great Slave Lake Drainage Area,2111,211113,55.9967,-118.5336
0000000109,Alumabrite Anodizing,ALUMABRITE ANODIZING,Hamilton,Hamilton,Hamilton,Hamilton--Niagara Peninsula,ON,L8E 3L9,MixedWood Plain,St. Lawrence Drainage Area,3313,331317,43.2344,-79.7439
0000000111,Apotex Inc.,Apotex Inc. 150 Signet Drive,Toronto,Toronto,Toronto,Toronto,ON,M9L 1T9,MixedWood Plain,St. Lawrence Drainage Area,3254,325410,43.7639,-79.5408
0000000123,Associated Tube Industries,A.T.I,Markham,Markham,Toronto,Toronto,ON,L3R 1A7,MixedWood Plain,St. Lawrence Drainage Area,3312,331210,43.8236,-79.3514
